source;source_uniprotAC;source_speciesID;source_species;source_topology;source_pathways;layer;target;target_uniprotAC;target_speciesID;target_species;target_topology;target_pathways;layer;interaction_type;directness;effect;references;data_source;confidence_score;score_from_the_source
ACVR2B;Q13705;ENSG00000114739;H. sapiens;Receptor;TGF(core);Interaction between pathway members;BMPR1B;O00238;ENSG00000138696;H. sapiens;Receptor;TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;16446785|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 1.0;
BMPR2;Q13873;ENSG00000204217;H. sapiens;;TGF(core);Interaction between pathway members;BMPR1B;O00238;ENSG00000138696;H. sapiens;Receptor;TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;16446785|7791754|10712517|10712517|23331499|21071413;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 1.0, GO Semantic Similarity: 1.0;
TGFB1;P01137;ENSG00000105329;H. sapiens;Ligand ;TGF(core);Interaction between pathway members;TGFBR2;P37173;ENSG00000163513;H. sapiens;Receptor,Endocytosis related ,Scaffold;RTK(core),TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;16446785|11157754|21071413|23331499;Biogrid(url: http://thebiogrid.org/ ,pmid: 21071413), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.891959;
TGFB2;P61812;ENSG00000092969;H. sapiens;Ligand ;TGF(core);Interaction between pathway members;TGFBR2;P37173;ENSG00000163513;H. sapiens;Receptor,Endocytosis related ,Scaffold;RTK(core),TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;16446785|11157754|21071413|23331499;Biogrid(url: http://thebiogrid.org/ ,pmid: 21071413), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.767699;
TGFB3;P10600;ENSG00000119699;H. sapiens;Ligand ;TGF(core);Interaction between pathway members;TGFBR2;P37173;ENSG00000163513;H. sapiens;Receptor,Endocytosis related ,Scaffold;RTK(core),TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;16446785|11850637|9872992|11157754|11850637|11382746|12729750|8106553|18988627|23331499|21071413;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 0.767699;
INHBA;P08476;ENSG00000122641;H. sapiens;Ligand ;TGF(core);Interaction between pathway members;ACVR2B;Q13705;ENSG00000114739;H. sapiens;Receptor;TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;16446785|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.854441, GO Semantic Similarity: 0.854441;
BMP7;P18075;ENSG00000101144;H. sapiens;Ligand ;TGF(core);Interaction between pathway members;ACVR2B;Q13705;ENSG00000114739;H. sapiens;Receptor;TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;16446785|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 1.0, GO Semantic Similarity: 1.0;
BMP6;P22004;ENSG00000153162;H. sapiens;Ligand ;TGF(core);Interaction between pathway members;ACVR2B;Q13705;ENSG00000114739;H. sapiens;Receptor;TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;16446785|10504300|21071413|23331499;Biogrid(url: http://thebiogrid.org/ ,pmid: 21071413), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 1.0;
BMP2;P12643;ENSG00000125845;H. sapiens;Ligand ,Transcription factor;TGF(core);Interaction between pathway members;ACVR2B;Q13705;ENSG00000114739;H. sapiens;Receptor;TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;16446785|15064755|18988627|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 1.0;
ACVR2B;Q13705;ENSG00000114739;H. sapiens;Receptor;TGF(core);Interaction between pathway members;ACVRL1;P37023;ENSG00000139567;H. sapiens;Receptor;TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;16446785|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.87666;
BMP7;P18075;ENSG00000101144;H. sapiens;Ligand ;TGF(core);Interaction between pathway members;BMPR2;Q13873;ENSG00000204217;H. sapiens;;TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;16446785|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 1.0, GO Semantic Similarity: 1.0;
BMP6;P22004;ENSG00000153162;H. sapiens;Ligand ;TGF(core);Interaction between pathway members;BMPR2;Q13873;ENSG00000204217;H. sapiens;;TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;16446785|10504300|21071413|23331499;Biogrid(url: http://thebiogrid.org/ ,pmid: 21071413), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 1.0;
BMP2;P12643;ENSG00000125845;H. sapiens;Ligand ,Transcription factor;TGF(core);Interaction between pathway members;BMPR2;Q13873;ENSG00000204217;H. sapiens;;TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;16446785|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 1.0, GO Semantic Similarity: 1.0;
GDF6;Q6KF10;ENSG00000156466;H. sapiens;Ligand ;TGF(core);Interaction between pathway members;BMPR2;Q13873;ENSG00000204217;H. sapiens;;TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;16446785|9525338|18988627|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.809026, GO Semantic Similarity: 0.809026;
BMP4;P12644;ENSG00000125378;H. sapiens;Ligand ;TGF(core);Interaction between pathway members;BMPR2;Q13873;ENSG00000204217;H. sapiens;;TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;16446785|7644468|21071413|23331499;Biogrid(url: http://thebiogrid.org/ ,pmid: 21071413), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 1.0;
CDC73;Q6P1J9;ENSG00000134371;H. sapiens;Co-factor;WNT/Wingless(non-core);Interaction between pathway members;PRO2286;P35222;ENSG00000168036;H. sapiens;Mediator;TGF(non-core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;16630820|16630820|18988627|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.828214;
PPM1A;P35813;ENSG00000100614;H. sapiens;Co-factor,Scaffold;TGF(non-core);Interaction between pathway members;SMAD3;P84022;ENSG00000166949;H. sapiens;Mediator,Transcription factor;RTK(core),NHR(core),TGF(core),WNT/Wingless(non-core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;16751101|16751101|18988627|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.847174, GO Semantic Similarity: 0.847174;
PPM1A;P35813;ENSG00000100614;H. sapiens;Co-factor,Scaffold;TGF(non-core);Interaction between pathway members;SMAD2;Q15796;ENSG00000175387;H. sapiens;Mediator,Transcription factor;RTK(core),TGF(core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;16751101|16751101|18988627|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.847174, GO Semantic Similarity: 0.847174;
CREB1;P16220;ENSG00000118260;H. sapiens;Co-factor,Transcription factor;RTK(core),TGF(core),WNT/Wingless(core);Interaction between pathway members;SMAD3;P84022;ENSG00000166949;H. sapiens;Mediator,Transcription factor;RTK(core),NHR(core),TGF(core),WNT/Wingless(non-core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;16862174|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 1.0;
PPM1A;P35813;ENSG00000100614;H. sapiens;Co-factor,Scaffold;TGF(non-core);Interaction between pathway members;SMAD1;Q15797;ENSG00000170365;H. sapiens;Mediator,Transcription factor;TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;16931515|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.847174;
SIRT1;Q96EB6;ENSG00000096717;H. sapiens;Co-factor;RTK(non-core),TGF(non-core);Interaction between pathway members;SMAD7;O15105;ENSG00000101665;H. sapiens;Co-factor,Transcription factor;RTK(non-core),TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;17098745|17098745|21071413|23331499;Biogrid(url: http://thebiogrid.org/ ,pmid: 21071413), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.757043, GO Semantic Similarity: 0.757043;
WNT5A;P41221;ENSG00000114251;H. sapiens;Ligand ,Endocytosis related ;WNT/Wingless(core);Interaction between pathway members;ROR2;Q01974;ENSG00000169071;H. sapiens;Receptor;RTK(core),TGF(non-core),WNT/Wingless(non-core);Interaction between pathway members;PPI directed;direct;stimulation;17203201|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.750228, GO Semantic Similarity: 0.750228;
GSK3B;P49841;ENSG00000082701;H. sapiens;Mediator,Co-factor;RTK(non-core),RTK(core),Hedgehog(core),TGF(core),WNT/Wingless(core);Interaction between pathway members;SMAD3;P84022;ENSG00000166949;H. sapiens;Mediator,Transcription factor;RTK(core),NHR(core),TGF(core),WNT/Wingless(non-core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;18172167|18172167|21071413|23331499;Biogrid(url: http://thebiogrid.org/ ,pmid: 21071413), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.730792, GO Semantic Similarity: 0.730792;
AKT1;P31749;ENSG00000142208;H. sapiens;Mediator;RTK(core),Hedgehog(core),TGF(core),WNT/Wingless(core);Interaction between pathway members;GSK3B;P49841;ENSG00000082701;H. sapiens;Mediator,Co-factor;RTK(non-core),RTK(core),Hedgehog(core),TGF(core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;18216173|11035810|8524413|18988627|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 1.0;
MAPK3;P27361;ENSG00000102882;H. sapiens;Mediator;RTK(core),JAK/STAT(core),TGF(core);Interaction between pathway members;MYC;P01106;ENSG00000136997;H. sapiens;Transcription factor;RTK(core),TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;18463697|15210690|9155018|18988627|21071413|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.862517;
LFNG;Q8NES3;ENSG00000106003;H. sapiens;Co-factor;Notch(non-core);Interaction between pathway members;DLL3;Q9NYJ7;ENSG00000090932;H. sapiens;Ligand ;Notch(non-core);Interaction between pathway members;PPI directed;indirect;stimulation;10934472|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.832356;
TGFBR1;P36897;ENSG00000106799;H. sapiens;Receptor,Endocytosis related ,Scaffold;RTK(core),TGF(core);Interaction between pathway members;HIPK2;Q9H2X6;ENSG00000064393;H. sapiens;Co-factor;TGF(non-core);Interaction between pathway members;PPI directed;indirect;stimulation;17729308|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.675224;
PRKACA;P17612;ENSG00000072062;H. sapiens;Mediator,Scaffold;RTK(non-core),Hedgehog(core),WNT/Wingless(core);Interaction between pathway members;GSK3B;P49841;ENSG00000082701;H. sapiens;Mediator,Co-factor;RTK(non-core),RTK(core),Hedgehog(core),TGF(core),WNT/Wingless(core);Interaction between pathway members;PPI directed;indirect;unknown;16481469|12147701|18988627|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.732828;
GPC3;P51654;ENSG00000147257;H. sapiens;Co-factor;Hedgehog(non-core),WNT/Wingless(non-core);Interaction between pathway members;WNT5A;P41221;ENSG00000114251;H. sapiens;Ligand ,Endocytosis related ;WNT/Wingless(core);Interaction between pathway members;PPI directed;indirect;inhibition;15537637|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.717922;
ADAM17;P78536;ENSG00000151694;H. sapiens;Co-factor;Notch(non-core);Interaction between pathway members;NOTCH1;P46531;ENSG00000148400;H. sapiens;Receptor,Endocytosis related ;Notch(core),WNT/Wingless(core);Interaction between pathway members;PPI directed;indirect;unknown;10882063|10882063|9620803|18988627|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.675224;
PSEN2;P49810;ENSG00000143801;H. sapiens;Co-factor,Scaffold;Notch(core);Interaction between pathway members;NOTCH1;P46531;ENSG00000148400;H. sapiens;Receptor,Endocytosis related ;Notch(core),WNT/Wingless(core);Interaction between pathway members;PPI directed;indirect;stimulation;15246694|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.704884, GO Semantic Similarity: 0.704884;
PSEN1;P49768;ENSG00000080815;H. sapiens;Co-factor,Endocytosis related ,Scaffold;Notch(core);Interaction between pathway members;NOTCH1;P46531;ENSG00000148400;H. sapiens;Receptor,Endocytosis related ;Notch(core),WNT/Wingless(core);Interaction between pathway members;PPI directed;indirect;stimulation;15246694|10077672|10206645|12374741|18988627|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.782478, GO Semantic Similarity: 0.782478;
NOTCH3;Q9UM47;ENSG00000074181;H. sapiens;Receptor;Notch(core);Interaction between pathway members;NOTCH1;P46531;ENSG00000148400;H. sapiens;Receptor,Endocytosis related ;Notch(core),WNT/Wingless(core);Interaction between pathway members;PPI directed;indirect;unknown;10433920|11404076|21071413|23331499;Biogrid(url: http://thebiogrid.org/ ,pmid: 21071413), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.698931;
LFNG;Q8NES3;ENSG00000106003;H. sapiens;Co-factor;Notch(non-core);Interaction between pathway members;NOTCH1;P46531;ENSG00000148400;H. sapiens;Receptor,Endocytosis related ;Notch(core),WNT/Wingless(core);Interaction between pathway members;PPI directed;indirect;unknown;10934472|10935626|12486116|18988627|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.832356;
WNT3A;P56704;ENSG00000154342;H. sapiens;Ligand ,Endocytosis related ;WNT/Wingless(core);Interaction between pathway members;FZD1;Q9UP38;ENSG00000157240;H. sapiens;Receptor;WNT/Wingless(core);Interaction between pathway members;PPI directed;indirect;stimulation;14627707|10557084|18988627|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);PRINCESS: 12.0, GO Semantic Similarity: 0.884988, GO Semantic Similarity: 0.884988;
SMURF1;Q9HCE7;ENSG00000198742;H. sapiens;Co-factor,Endocytosis related ,Scaffold;TGF(non-core);Interaction between pathway members;SMAD6;O43541;ENSG00000137834;H. sapiens;Mediator,Transcription factor;RTK(non-core),TGF(non-core);Interaction between pathway members;PPI directed;indirect;stimulation;15123739|15221015|11278251|18988627|21071413|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.642306, GO Semantic Similarity: 0.642306;
UNQ361/PRO697;Q96HF1;ENSG00000145423;H. sapiens;Co-factor;WNT/Wingless(non-core);Interaction between pathway members;UNQ426/PRO864;P56705;ENSG00000162552;H. sapiens;Ligand ;WNT/Wingless(core);Interaction between pathway members;PPI directed;indirect;unknown;11287180|9853965|18988627|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.8556, GO Semantic Similarity: 0.8556;
LFNG;Q8NES3;ENSG00000106003;H. sapiens;Co-factor;Notch(non-core);Interaction between pathway members;UNQ146/PRO172;O00548;ENSG00000198719;H. sapiens;Ligand ;Notch(core);Interaction between pathway members;PPI directed;indirect;stimulation;11346656|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.832356;
UNQ262/PRO299;Q8NFT8;ENSG00000187957;H. sapiens;Co-factor,Ligand ;Notch(non-core);Interaction between pathway members;NOTCH1;P46531;ENSG00000148400;H. sapiens;Receptor,Endocytosis related ;Notch(core),WNT/Wingless(core);Interaction between pathway members;PPI directed;indirect;stimulation;15965470|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.698931;
MFAP5;Q13361;ENSG00000197614;H. sapiens;Co-factor,Ligand ;Notch(non-core);Interaction between pathway members;NOTCH1;P46531;ENSG00000148400;H. sapiens;Receptor,Endocytosis related ;Notch(core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;16492672|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);;
LTC4S;Q16873;ENSG00000213316;H. sapiens;Co-factor;Notch(non-core);Interaction between pathway members;EP300;Q09472;ENSG00000100393;H. sapiens;Transcription factor;Notch(non-core);Interaction between pathway members;PPI directed;indirect;stimulation;19304754|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.855407;
DAB1;O75553;ENSG00000173406;H. sapiens;Co-factor,Mediator,Scaffold;Notch(non-core);Interaction between pathway members;NOTCH1;P46531;ENSG00000148400;H. sapiens;Receptor,Endocytosis related ;Notch(core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;18593473|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.753321;
NOTCH1;P46531;ENSG00000148400;H. sapiens;Receptor,Endocytosis related ;Notch(core),WNT/Wingless(core);Interaction between pathway members;HIF1A;Q16665;ENSG00000100644;H. sapiens;Co-factor,Transcription factor;Notch(non-core);Interaction between pathway members;PPI directed;direct;stimulation;18722525|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.759738;
PPP2CA;P67775;ENSG00000113575;H. sapiens;Co-factor,Scaffold;WNT/Wingless(non-core);Interaction between pathway members;SMAD3;P84022;ENSG00000166949;H. sapiens;Mediator,Transcription factor;RTK(core),NHR(core),TGF(core),WNT/Wingless(non-core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;20704570|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.629665;
PPP2CA;P67775;ENSG00000113575;H. sapiens;Co-factor,Scaffold;WNT/Wingless(non-core);Interaction between pathway members;SMAD2;Q15796;ENSG00000175387;H. sapiens;Mediator,Transcription factor;RTK(core),TGF(core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;20704570|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.629665;
MTMR4;Q9NYA4;ENSG00000108389;H. sapiens;Co-factor,Mediator;TGF(non-core);Interaction between pathway members;SMAD2;Q15796;ENSG00000175387;H. sapiens;Mediator,Transcription factor;RTK(core),TGF(core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;20704570|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);;
MTMR4;Q9NYA4;ENSG00000108389;H. sapiens;Co-factor,Mediator;TGF(non-core);Interaction between pathway members;SMAD3;P84022;ENSG00000166949;H. sapiens;Mediator,Transcription factor;RTK(core),NHR(core),TGF(core),WNT/Wingless(non-core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;20704570|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);;
HYAL2;Q12891;ENSG00000068001;H. sapiens;Co-factor;TGF(non-core);Interaction between pathway members;SMAD4;Q13485;ENSG00000141646;H. sapiens;Co-factor,Transcription factor;RTK(core),TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;20542955|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.947136;
WWOX;Q9NZC7;ENSG00000186153;H. sapiens;Co-factor,Mediator;TGF(non-core);Interaction between pathway members;SMAD4;Q13485;ENSG00000141646;H. sapiens;Co-factor,Transcription factor;RTK(core),TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;20542955|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.947136;
PP13671;Q5SW24;ENSG00000164488;H. sapiens;Mediator,Co-factor;TGF(non-core);Interaction between pathway members;TGFBR1;P36897;ENSG00000106799;H. sapiens;Receptor,Endocytosis related ,Scaffold;RTK(core),TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;19855013|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);;
TGFBR1;P36897;ENSG00000106799;H. sapiens;Receptor,Endocytosis related ,Scaffold;RTK(core),TGF(core);Interaction between pathway members;EIF3I;Q13347;ENSG00000084623;H. sapiens;Mediator;TGF(non-core);Interaction between pathway members;PPI directed;direct;stimulation;9813058|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);;
TGFBR1;P36897;ENSG00000106799;H. sapiens;Receptor,Endocytosis related ,Scaffold;RTK(core),TGF(core);Interaction between pathway members;CDC42;P60953;ENSG00000070831,ENSRNOG00000013536;H. sapiens;Mediator,Endocytosis related ;RTK(core),TGF(non-core);Interaction between pathway members;PPI directed;direct;stimulation;19114990|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.652908;
ITCH;Q96J02;ENSG00000078747;H. sapiens;Co-factor,Endocytosis related ;Notch(non-core),TGF(non-core);Interaction between pathway members;SMAD7;O15105;ENSG00000101665;H. sapiens;Co-factor,Transcription factor;RTK(non-core),TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;19030025|15946939|21071413|23331499;Biogrid(url: http://thebiogrid.org/ ,pmid: 21071413), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.603351;
SIK1;P57059;ENSG00000142178;H. sapiens;Mediator;TGF(non-core);Interaction between pathway members;SMAD7;O15105;ENSG00000101665;H. sapiens;Co-factor,Transcription factor;RTK(non-core),TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;19030025|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.603351;
GSK3A;P49840;ENSG00000105723;H. sapiens;Mediator;Notch(non-core);Interaction between pathway members;TSC2;P49815;ENSG00000103197;H. sapiens;Mediator,Co-factor;WNT/Wingless(non-core);Interaction between pathway members;PPI directed;direct;stimulation;20226003|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 1.0;
TSC2;P49815;ENSG00000103197;H. sapiens;Mediator,Co-factor;WNT/Wingless(non-core);Interaction between pathway members;TSC1;Q92574;ENSG00000165699;H. sapiens;Mediator,Co-factor,Scaffold;WNT/Wingless(non-core);Interaction between pathway members;PPI directed;direct;stimulation;20226003|15851026|14651849|15963462|16424383|16339216|17077083|14551205|11741833|11741833|11741832|11290735|10807585|9580671|12167664|10915759|17658474|11175345|23331499|21071413;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 0.963898, GO Semantic Similarity: 0.963898;
TSC2;P49815;ENSG00000103197;H. sapiens;Mediator,Co-factor;WNT/Wingless(non-core);Interaction between pathway members;RHEB;Q15382;ENSG00000106615;H. sapiens;Mediator,Scaffold;WNT/Wingless(non-core);Interaction between pathway members;PPI directed;direct;stimulation;20226003|12842888|15854902|15854902|23331499|21071413;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 0.864327, GO Semantic Similarity: 0.864327;
PP13671;Q5SW24;ENSG00000164488;H. sapiens;Mediator,Co-factor;TGF(non-core);Interaction between pathway members;DVL2;O14641;ENSG00000004975;H. sapiens;Mediator,Endocytosis related ,Scaffold,Transcription factor;WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;20006983|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);;
ANKRD6;Q9Y2G4;ENSG00000135299;H. sapiens;Co-factor;WNT/Wingless(non-core);Interaction between pathway members;DVL2;O14641;ENSG00000004975;H. sapiens;Mediator,Endocytosis related ,Scaffold,Transcription factor;WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;20006983|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);;
DVL1;O14640;ENSG00000107404;H. sapiens;Mediator,Scaffold,Transcription factor;WNT/Wingless(core);Interaction between pathway members;LRRK2;Q5S007;ENSG00000188906;H. sapiens;Mediator;WNT/Wingless(non-core);Interaction between pathway members;PPI directed;direct;stimulation;20006983|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.673398;
DVL1;O14640;ENSG00000107404;H. sapiens;Mediator,Scaffold,Transcription factor;WNT/Wingless(core);Interaction between pathway members;PI4K2B;Q8TCG2;ENSG00000038210;H. sapiens;Mediator;RTK(non-core),WNT/Wingless(non-core);Interaction between pathway members;PPI directed;direct;stimulation;19561074|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);;
DVL2;O14641;ENSG00000004975;H. sapiens;Mediator,Endocytosis related ,Scaffold,Transcription factor;WNT/Wingless(core);Interaction between pathway members;PI4K2B;Q8TCG2;ENSG00000038210;H. sapiens;Mediator;RTK(non-core),WNT/Wingless(non-core);Interaction between pathway members;PPI directed;direct;stimulation;19561074|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);;
